Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20 m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd85/acd85_fe.dat
scd : /home/adas/adas/adf11/scd85/scd85_fe.dat
plt : /home/adas/adas/adf11/plt89/plt89_fe.dat
prb : /home/adas/adas/adf11/prb89/prb89_fe.dat

Te[eV]
 1.000e+00 1.055e+00 1.112e+00 1.173e+00 1.237e+00 1.305e+00 1.376e+00 1.452e+00
 1.531e+00 1.615e+00 1.703e+00 1.796e+00 1.895e+00 1.998e+00 2.107e+00 2.223e+00
 2.344e+00 2.473e+00 2.608e+00 2.750e+00 2.901e+00 3.059e+00 3.227e+00 3.403e+00
 3.589e+00 3.786e+00 3.993e+00 4.211e+00 4.441e+00 4.684e+00 4.941e+00 5.211e+00
 5.496e+00 5.796e+00 6.113e+00 6.448e+00 6.800e+00 7.172e+00 7.565e+00 7.978e+00
 8.415e+00 8.875e+00 9.360e+00 9.872e+00 1.041e+01 1.098e+01 1.158e+01 1.222e+01
 1.288e+01 1.359e+01 1.433e+01 1.512e+01 1.594e+01 1.681e+01 1.773e+01 1.870e+01
 1.973e+01 2.081e+01 2.194e+01 2.314e+01 2.441e+01 2.574e+01 2.715e+01 2.864e+01
 3.020e+01 3.186e+01 3.360e+01 3.544e+01 3.737e+01 3.942e+01 4.157e+01 4.385e+01
 4.625e+01 4.877e+01 5.144e+01 5.426e+01 5.722e+01 6.035e+01 6.365e+01 6.713e+01
 7.081e+01 7.468e+01 7.876e+01 8.307e+01 8.761e+01 9.241e+01 9.746e+01 1.028e+02
 1.084e+02 1.143e+02 1.206e+02 1.272e+02 1.341e+02 1.415e+02 1.492e+02 1.574e+02
 1.660e+02 1.751e+02 1.846e+02 1.947e+02 2.054e+02 2.166e+02 2.285e+02 2.410e+02
 2.542e+02 2.681e+02 2.827e+02 2.982e+02 3.145e+02 3.317e+02 3.498e+02 3.690e+02
 3.891e+02 4.104e+02 4.329e+02 4.565e+02 4.815e+02 5.078e+02 5.356e+02 5.649e+02
 5.958e+02 6.284e+02 6.628e+02 6.990e+02 7.373e+02 7.776e+02 8.201e+02 8.650e+02
 9.123e+02 9.622e+02 1.015e+03 1.070e+03 1.129e+03 1.191e+03 1.256e+03 1.324e+03
 1.397e+03 1.473e+03 1.554e+03 1.639e+03 1.728e+03 1.823e+03 1.923e+03 2.028e+03
 2.139e+03 2.256e+03 2.379e+03 2.509e+03 2.646e+03 2.791e+03 2.944e+03 3.105e+03
 3.274e+03 3.454e+03 3.642e+03 3.842e+03 4.052e+03 4.273e+03 4.507e+03 4.754e+03
 5.014e+03 5.288e+03 5.577e+03 5.882e+03 6.204e+03 6.543e+03 6.901e+03 7.278e+03
 7.676e+03 8.096e+03 8.539e+03 9.006e+03 9.499e+03 1.002e+04 1.057e+04 1.114e+04
 1.175e+04 1.240e+04 1.307e+04 1.379e+04 1.454e+04 1.534e+04 1.618e+04 1.706e+04
 1.800e+04 1.898e+04 2.002e+04 2.111e+04 2.227e+04 2.349e+04 2.477e+04 2.612e+04
 2.755e+04 2.906e+04 3.065e+04 3.233e+04 3.409e+04 3.596e+04 3.793e+04 4.000e+04
sqrt(<Z^2>) for tau[ms]=    0.1
 2.678e-01 3.235e-01 3.851e-01 4.502e-01 5.153e-01 5.765e-01 6.301e-01 6.752e-01
 7.147e-01 7.521e-01 7.909e-01 8.339e-01 8.813e-01 9.337e-01 9.927e-01 1.059e+00
 1.132e+00 1.210e+00 1.292e+00 1.376e+00 1.460e+00 1.542e+00 1.618e+00 1.688e+00
 1.753e+00 1.816e+00 1.880e+00 1.946e+00 2.018e+00 2.097e+00 2.182e+00 2.271e+00
 2.361e+00 2.451e+00 2.537e+00 2.621e+00 2.703e+00 2.785e+00 2.869e+00 2.958e+00
 3.052e+00 3.153e+00 3.258e+00 3.366e+00 3.477e+00 3.587e+00 3.698e+00 3.808e+00
 3.918e+00 4.025e+00 4.131e+00 4.233e+00 4.332e+00 4.427e+00 4.518e+00 4.607e+00
 4.693e+00 4.779e+00 4.865e+00 4.952e+00 5.040e+00 5.130e+00 5.221e+00 5.315e+00
 5.412e+00 5.510e+00 5.611e+00 5.714e+00 5.819e+00 5.927e+00 6.037e+00 6.149e+00
 6.263e+00 6.379e+00 6.498e+00 6.620e+00 6.746e+00 6.875e+00 7.010e+00 7.150e+00
 7.296e+00 7.449e+00 7.608e+00 7.773e+00 7.944e+00 8.120e+00 8.300e+00 8.483e+00
 8.669e+00 8.857e+00 9.047e+00 9.237e+00 9.429e+00 9.621e+00 9.815e+00 1.001e+01
 1.021e+01 1.040e+01 1.060e+01 1.080e+01 1.099e+01 1.118e+01 1.137e+01 1.156e+01
 1.174e+01 1.192e+01 1.208e+01 1.224e+01 1.240e+01 1.254e+01 1.268e+01 1.281e+01
