Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20 m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd89/acd89_kr.dat
scd : /home/adas/adas/adf11/scd89/scd89_kr.dat
plt : /home/adas/adas/adf11/plt89/plt89_kr.dat
prb : /home/adas/adas/adf11/prb89/prb89_kr.dat

Te[eV]
 1.000e+00 1.055e+00 1.112e+00 1.173e+00 1.237e+00 1.305e+00 1.376e+00 1.452e+00
 1.531e+00 1.615e+00 1.703e+00 1.796e+00 1.895e+00 1.998e+00 2.107e+00 2.223e+00
 2.344e+00 2.473e+00 2.608e+00 2.750e+00 2.901e+00 3.059e+00 3.227e+00 3.403e+00
 3.589e+00 3.786e+00 3.993e+00 4.211e+00 4.441e+00 4.684e+00 4.941e+00 5.211e+00
 5.496e+00 5.796e+00 6.113e+00 6.448e+00 6.800e+00 7.172e+00 7.565e+00 7.978e+00
 8.415e+00 8.875e+00 9.360e+00 9.872e+00 1.041e+01 1.098e+01 1.158e+01 1.222e+01
 1.288e+01 1.359e+01 1.433e+01 1.512e+01 1.594e+01 1.681e+01 1.773e+01 1.870e+01
 1.973e+01 2.081e+01 2.194e+01 2.314e+01 2.441e+01 2.574e+01 2.715e+01 2.864e+01
 3.020e+01 3.186e+01 3.360e+01 3.544e+01 3.737e+01 3.942e+01 4.157e+01 4.385e+01
 4.625e+01 4.877e+01 5.144e+01 5.426e+01 5.722e+01 6.035e+01 6.365e+01 6.713e+01
 7.081e+01 7.468e+01 7.876e+01 8.307e+01 8.761e+01 9.241e+01 9.746e+01 1.028e+02
 1.084e+02 1.143e+02 1.206e+02 1.272e+02 1.341e+02 1.415e+02 1.492e+02 1.574e+02
 1.660e+02 1.751e+02 1.846e+02 1.947e+02 2.054e+02 2.166e+02 2.285e+02 2.410e+02
 2.542e+02 2.681e+02 2.827e+02 2.982e+02 3.145e+02 3.317e+02 3.498e+02 3.690e+02
 3.891e+02 4.104e+02 4.329e+02 4.565e+02 4.815e+02 5.078e+02 5.356e+02 5.649e+02
 5.958e+02 6.284e+02 6.628e+02 6.990e+02 7.373e+02 7.776e+02 8.201e+02 8.650e+02
 9.123e+02 9.622e+02 1.015e+03 1.070e+03 1.129e+03 1.191e+03 1.256e+03 1.324e+03
 1.397e+03 1.473e+03 1.554e+03 1.639e+03 1.728e+03 1.823e+03 1.923e+03 2.028e+03
 2.139e+03 2.256e+03 2.379e+03 2.509e+03 2.646e+03 2.791e+03 2.944e+03 3.105e+03
 3.274e+03 3.454e+03 3.642e+03 3.842e+03 4.052e+03 4.273e+03 4.507e+03 4.754e+03
 5.014e+03 5.288e+03 5.577e+03 5.882e+03 6.204e+03 6.543e+03 6.901e+03 7.278e+03
 7.676e+03 8.096e+03 8.539e+03 9.006e+03 9.499e+03 1.002e+04 1.057e+04 1.114e+04
 1.175e+04 1.240e+04 1.307e+04 1.379e+04 1.454e+04 1.534e+04 1.618e+04 1.706e+04
 1.800e+04 1.898e+04 2.002e+04 2.111e+04 2.227e+04 2.349e+04 2.477e+04 2.612e+04
 2.755e+04 2.906e+04 3.065e+04 3.233e+04 3.409e+04 3.596e+04 3.793e+04 4.000e+04
sqrt(<Z^2>) for tau[ms]=    0.1
 2.682e-02 3.820e-02 5.417e-02 7.617e-02 1.057e-01 1.442e-01 1.922e-01 2.502e-01
 3.179e-01 3.941e-01 4.760e-01 5.601e-01 6.418e-01 7.166e-01 7.821e-01 8.376e-01
 8.850e-01 9.273e-01 9.687e-01 1.014e+00 1.066e+00 1.129e+00 1.204e+00 1.290e+00
 1.383e+00 1.479e+00 1.573e+00 1.663e+00 1.747e+00 1.827e+00 1.906e+00 1.987e+00
 2.073e+00 2.163e+00 2.259e+00 2.357e+00 2.455e+00 2.552e+00 2.647e+00 2.741e+00
 2.835e+00 2.931e+00 3.029e+00 3.132e+00 3.238e+00 3.349e+00 3.461e+00 3.577e+00
 3.694e+00 3.814e+00 3.935e+00 4.057e+00 4.180e+00 4.305e+00 4.430e+00 4.555e+00
 4.681e+00 4.807e+00 4.933e+00 5.059e+00 5.185e+00 5.310e+00 5.435e+00 5.559e+00
 5.682e+00 5.805e+00 5.927e+00 6.047e+00 6.168e+00 6.287e+00 6.408e+00 6.529e+00
 6.652e+00 6.779e+00 6.910e+00 7.047e+00 7.190e+00 7.339e+00 7.494e+00 7.655e+00
 7.821e+00 7.992e+00 8.166e+00 8.344e+00 8.524e+00 8.707e+00 8.891e+00 9.076e+00
 9.263e+00 9.450e+00 9.638e+00 9.827e+00 1.002e+01 1.020e+01 1.039e+01 1.058e+01
 1.077e+01 1.095e+01 1.114e+01 1.132e+01 1.150e+01 1.168e+01 1.185e+01 1.203e+01
 1.220e+01 1.236e+01 1.253e+01 1.269e+01 1.285e+01 1.300e+01 1.316e+01 1.331e+01
