Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20 m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_n.dat
scd : /home/adas/adas/adf11/scd96/scd96_n.dat
plt : /home/adas/adas/adf11/plt96/plt96_n.dat
prb : /home/adas/adas/adf11/prb96/prb96_n.dat

Te[eV]
 1.000e+00 1.055e+00 1.112e+00 1.173e+00 1.237e+00 1.305e+00 1.376e+00 1.452e+00
 1.531e+00 1.615e+00 1.703e+00 1.796e+00 1.895e+00 1.998e+00 2.107e+00 2.223e+00
 2.344e+00 2.473e+00 2.608e+00 2.750e+00 2.901e+00 3.059e+00 3.227e+00 3.403e+00
 3.589e+00 3.786e+00 3.993e+00 4.211e+00 4.441e+00 4.684e+00 4.941e+00 5.211e+00
 5.496e+00 5.796e+00 6.113e+00 6.448e+00 6.800e+00 7.172e+00 7.565e+00 7.978e+00
 8.415e+00 8.875e+00 9.360e+00 9.872e+00 1.041e+01 1.098e+01 1.158e+01 1.222e+01
 1.288e+01 1.359e+01 1.433e+01 1.512e+01 1.594e+01 1.681e+01 1.773e+01 1.870e+01
 1.973e+01 2.081e+01 2.194e+01 2.314e+01 2.441e+01 2.574e+01 2.715e+01 2.864e+01
 3.020e+01 3.186e+01 3.360e+01 3.544e+01 3.737e+01 3.942e+01 4.157e+01 4.385e+01
 4.625e+01 4.877e+01 5.144e+01 5.426e+01 5.722e+01 6.035e+01 6.365e+01 6.713e+01
 7.081e+01 7.468e+01 7.876e+01 8.307e+01 8.761e+01 9.241e+01 9.746e+01 1.028e+02
 1.084e+02 1.143e+02 1.206e+02 1.272e+02 1.341e+02 1.415e+02 1.492e+02 1.574e+02
 1.660e+02 1.751e+02 1.846e+02 1.947e+02 2.054e+02 2.166e+02 2.285e+02 2.410e+02
 2.542e+02 2.681e+02 2.827e+02 2.982e+02 3.145e+02 3.317e+02 3.498e+02 3.690e+02
 3.891e+02 4.104e+02 4.329e+02 4.565e+02 4.815e+02 5.078e+02 5.356e+02 5.649e+02
 5.958e+02 6.284e+02 6.628e+02 6.990e+02 7.373e+02 7.776e+02 8.201e+02 8.650e+02
 9.123e+02 9.622e+02 1.015e+03 1.070e+03 1.129e+03 1.191e+03 1.256e+03 1.324e+03
 1.397e+03 1.473e+03 1.554e+03 1.639e+03 1.728e+03 1.823e+03 1.923e+03 2.028e+03
 2.139e+03 2.256e+03 2.379e+03 2.509e+03 2.646e+03 2.791e+03 2.944e+03 3.105e+03
 3.274e+03 3.454e+03 3.642e+03 3.842e+03 4.052e+03 4.273e+03 4.507e+03 4.754e+03
 5.014e+03 5.288e+03 5.577e+03 5.882e+03 6.204e+03 6.543e+03 6.901e+03 7.278e+03
 7.676e+03 8.096e+03 8.539e+03 9.006e+03 9.499e+03 1.002e+04 1.057e+04 1.114e+04
 1.175e+04 1.240e+04 1.307e+04 1.379e+04 1.454e+04 1.534e+04 1.618e+04 1.706e+04
 1.800e+04 1.898e+04 2.002e+04 2.111e+04 2.227e+04 2.349e+04 2.477e+04 2.612e+04
 2.755e+04 2.906e+04 3.065e+04 3.233e+04 3.409e+04 3.596e+04 3.793e+04 4.000e+04
sqrt(<Z^2>) for tau[ms]=    0.1
 6.930e-02 9.520e-02 1.283e-01 1.696e-01 2.198e-01 2.790e-01 3.464e-01 4.202e-01
 4.973e-01 5.740e-01 6.466e-01 7.120e-01 7.684e-01 8.155e-01 8.537e-01 8.843e-01
 9.087e-01 9.284e-01 9.447e-01 9.592e-01 9.731e-01 9.881e-01 1.006e+00 1.028e+00
 1.056e+00 1.092e+00 1.138e+00 1.193e+00 1.257e+00 1.328e+00 1.404e+00 1.483e+00
 1.562e+00 1.639e+00 1.716e+00 1.793e+00 1.871e+00 1.952e+00 2.036e+00 2.124e+00
 2.214e+00 2.305e+00 2.394e+00 2.480e+00 2.563e+00 2.643e+00 2.721e+00 2.797e+00
 2.873e+00 2.951e+00 3.030e+00 3.113e+00 3.197e+00 3.284e+00 3.373e+00 3.462e+00
 3.551e+00 3.640e+00 3.727e+00 3.813e+00 3.896e+00 3.976e+00 4.052e+00 4.124e+00
 4.191e+00 4.254e+00 4.313e+00 4.367e+00 4.416e+00 4.461e+00 4.501e+00 4.538e+00
 4.572e+00 4.602e+00 4.629e+00 4.653e+00 4.676e+00 4.696e+00 4.714e+00 4.730e+00
 4.745e+00 4.758e+00 4.771e+00 4.782e+00 4.793e+00 4.803e+00 4.812e+00 4.822e+00
 4.831e+00 4.840e+00 4.849e+00 4.858e+00 4.868e+00 4.879e+00 4.890e+00 4.902e+00
 4.916e+00 4.930e+00 4.946e+00 4.963e+00 4.982e+00 5.002e+00 5.023e+00 5.046e+00
 5.070e+00 5.095e+00 5.122e+00 5.149e+00 5.177e+00 5.206e+00 5.235e+00 5.265e+00
