Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20 m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_si.dat
scd : /home/adas/adas/adf11/scd96/scd96_si.dat
plt : /home/adas/adas/adf11/plt96/plt96_si.dat
prb : /home/adas/adas/adf11/prb96/prb96_si.dat

Te[eV]
 1.000e+00 1.055e+00 1.112e+00 1.173e+00 1.237e+00 1.305e+00 1.376e+00 1.452e+00
 1.531e+00 1.615e+00 1.703e+00 1.796e+00 1.895e+00 1.998e+00 2.107e+00 2.223e+00
 2.344e+00 2.473e+00 2.608e+00 2.750e+00 2.901e+00 3.059e+00 3.227e+00 3.403e+00
 3.589e+00 3.786e+00 3.993e+00 4.211e+00 4.441e+00 4.684e+00 4.941e+00 5.211e+00
 5.496e+00 5.796e+00 6.113e+00 6.448e+00 6.800e+00 7.172e+00 7.565e+00 7.978e+00
 8.415e+00 8.875e+00 9.360e+00 9.872e+00 1.041e+01 1.098e+01 1.158e+01 1.222e+01
 1.288e+01 1.359e+01 1.433e+01 1.512e+01 1.594e+01 1.681e+01 1.773e+01 1.870e+01
 1.973e+01 2.081e+01 2.194e+01 2.314e+01 2.441e+01 2.574e+01 2.715e+01 2.864e+01
 3.020e+01 3.186e+01 3.360e+01 3.544e+01 3.737e+01 3.942e+01 4.157e+01 4.385e+01
 4.625e+01 4.877e+01 5.144e+01 5.426e+01 5.722e+01 6.035e+01 6.365e+01 6.713e+01
 7.081e+01 7.468e+01 7.876e+01 8.307e+01 8.761e+01 9.241e+01 9.746e+01 1.028e+02
 1.084e+02 1.143e+02 1.206e+02 1.272e+02 1.341e+02 1.415e+02 1.492e+02 1.574e+02
 1.660e+02 1.751e+02 1.846e+02 1.947e+02 2.054e+02 2.166e+02 2.285e+02 2.410e+02
 2.542e+02 2.681e+02 2.827e+02 2.982e+02 3.145e+02 3.317e+02 3.498e+02 3.690e+02
 3.891e+02 4.104e+02 4.329e+02 4.565e+02 4.815e+02 5.078e+02 5.356e+02 5.649e+02
 5.958e+02 6.284e+02 6.628e+02 6.990e+02 7.373e+02 7.776e+02 8.201e+02 8.650e+02
 9.123e+02 9.622e+02 1.015e+03 1.070e+03 1.129e+03 1.191e+03 1.256e+03 1.324e+03
 1.397e+03 1.473e+03 1.554e+03 1.639e+03 1.728e+03 1.823e+03 1.923e+03 2.028e+03
 2.139e+03 2.256e+03 2.379e+03 2.509e+03 2.646e+03 2.791e+03 2.944e+03 3.105e+03
 3.274e+03 3.454e+03 3.642e+03 3.842e+03 4.052e+03 4.273e+03 4.507e+03 4.754e+03
 5.014e+03 5.288e+03 5.577e+03 5.882e+03 6.204e+03 6.543e+03 6.901e+03 7.278e+03
 7.676e+03 8.096e+03 8.539e+03 9.006e+03 9.499e+03 1.002e+04 1.057e+04 1.114e+04
 1.175e+04 1.240e+04 1.307e+04 1.379e+04 1.454e+04 1.534e+04 1.618e+04 1.706e+04
 1.800e+04 1.898e+04 2.002e+04 2.111e+04 2.227e+04 2.349e+04 2.477e+04 2.612e+04
 2.755e+04 2.906e+04 3.065e+04 3.233e+04 3.409e+04 3.596e+04 3.793e+04 4.000e+04
sqrt(<Z^2>) for tau[ms]=    0.1
 9.357e-01 9.536e-01 9.668e-01 9.772e-01 9.865e-01 9.965e-01 1.009e+00 1.028e+00
 1.055e+00 1.096e+00 1.152e+00 1.225e+00 1.314e+00 1.412e+00 1.514e+00 1.612e+00
 1.704e+00 1.787e+00 1.863e+00 1.933e+00 2.002e+00 2.070e+00 2.140e+00 2.214e+00
 2.291e+00 2.373e+00 2.460e+00 2.551e+00 2.647e+00 2.747e+00 2.851e+00 2.956e+00
 3.059e+00 3.160e+00 3.255e+00 3.342e+00 3.422e+00 3.493e+00 3.556e+00 3.610e+00
 3.658e+00 3.699e+00 3.734e+00 3.764e+00 3.790e+00 3.813e+00 3.832e+00 3.849e+00
 3.863e+00 3.876e+00 3.887e+00 3.897e+00 3.905e+00 3.914e+00 3.921e+00 3.929e+00
 3.937e+00 3.946e+00 3.957e+00 3.970e+00 3.987e+00 4.008e+00 4.035e+00 4.069e+00
 4.109e+00 4.159e+00 4.216e+00 4.282e+00 4.357e+00 4.439e+00 4.528e+00 4.624e+00
 4.726e+00 4.834e+00 4.946e+00 5.062e+00 5.181e+00 5.303e+00 5.427e+00 5.552e+00
 5.677e+00 5.803e+00 5.929e+00 6.055e+00 6.181e+00 6.306e+00 6.431e+00 6.555e+00
 6.680e+00 6.803e+00 6.926e+00 7.048e+00 7.169e+00 7.289e+00 7.407e+00 7.523e+00
 7.637e+00 7.750e+00 7.859e+00 7.967e+00 8.072e+00 8.174e+00 8.273e+00 8.370e+00
 8.463e+00 8.554e+00 8.641e+00 8.725e+00 8.807e+00 8.885e+00 8.960e+00 9.032e+00
